step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
211,CASH_IN,97860.25,C1922818287,12042305.72,12140165.97,C1664927413,3044777.61,3192273.08,0,0
187,CASH_OUT,68323.02,C1974171631,3545.0,0.0,C1927233006,0.0,68323.02,0,0
158,CASH_OUT,157218.98,C855046000,16606.0,0.0,C1739991429,199818.28,357037.26,0,0
16,CASH_OUT,65609.67,C949363580,121825.0,56215.33,C2011294421,388372.6,116459.3,0,0
138,PAYMENT,6457.31,C89942125,34943.0,28485.69,M156056858,0.0,0.0,0,0
208,CASH_OUT,376193.25,C2027627238,106429.0,0.0,C60362967,0.0,376193.25,0,0
347,CASH_IN,186449.86,C589861693,2117800.03,2304249.89,C1351639449,1123002.08,936552.22,0,0
35,PAYMENT,5497.61,C1208052157,49555.0,44057.39,M513608155,0.0,0.0,0,0
184,PAYMENT,5521.74,C871793004,54933.0,49411.26,M1449139190,0.0,0.0,0,0
274,CASH_OUT,287496.88,C283027232,0.0,0.0,C1398392657,1018342.07,1305838.95,0,0
401,CASH_OUT,170400.03,C563380630,0.0,0.0,C341394554,2373310.75,2543710.78,0,0
398,CASH_OUT,265887.57,C771134901,16864.0,0.0,C2088346408,0.0,265887.57,0,0
134,PAYMENT,5298.97,C1803652077,0.0,0.0,M1735528361,0.0,0.0,0,0
138,CASH_OUT,44979.48,C518742609,40776.0,0.0,C1365507810,5078128.93,5123108.41,0,0
190,PAYMENT,770.09,C1438251004,20107.25,19337.16,M1414848344,0.0,0.0,0,0
304,PAYMENT,17309.35,C1660321351,0.0,0.0,M1911310375,0.0,0.0,0,0
278,PAYMENT,9856.34,C1158613033,258585.08,248728.74,M1399240517,0.0,0.0,0,0
135,TRANSFER,179777.53,C1978661183,35521.0,0.0,C1794060016,999838.14,1179615.66,0,0
282,PAYMENT,19771.66,C2082388865,0.0,0.0,M877608766,0.0,0.0,0,0
14,PAYMENT,21930.21,C540409733,0.0,0.0,M808683296,0.0,0.0,0,0
165,CASH_OUT,387011.71,C1159894843,0.0,0.0,C1602525817,1869413.54,2256425.25,0,0
332,CASH_IN,14835.13,C2025925409,7064.0,21899.13,C188013471,0.0,0.0,0,0
644,PAYMENT,1954.79,C1449672927,18110.0,16155.21,M496729139,0.0,0.0,0,0
551,PAYMENT,1096.45,C1146322103,20040.0,18943.55,M164685717,0.0,0.0,0,0
157,CASH_OUT,138066.22,C509254998,0.0,0.0,C1200425270,501319.37,639385.59,0,0
352,CASH_IN,28606.83,C1729396788,6204694.86,6233301.69,C1620143381,1542442.11,1513835.29,0,0
324,CASH_OUT,130244.49,C952634118,21154.0,0.0,C950078644,4792946.61,4923191.1,0,0
258,PAYMENT,3489.11,C1156835274,772226.91,768737.79,M1853635626,0.0,0.0,0,0
373,PAYMENT,12159.14,C1567557876,1058.0,0.0,M1975588479,0.0,0.0,0,0
308,PAYMENT,9783.8,C1341481909,107908.0,98124.2,M2114474117,0.0,0.0,0,0
15,PAYMENT,11354.21,C428227349,356755.28,345401.07,M2013081550,0.0,0.0,0,0
324,CASH_IN,448528.67,C1678189584,2327800.66,2776329.34,C1445644310,968158.53,519629.85,0,0
155,CASH_OUT,139767.05,C1791296435,175197.0,35429.95,C1810286084,1056494.99,1196262.04,0,0
166,CASH_IN,54033.61,C1665386614,1070410.44,1124444.05,C631141908,73563.29,19529.69,0,0
346,TRANSFER,1193209.41,C172949871,0.0,0.0,C135407153,12454471.71,13647681.13,0,0
230,PAYMENT,13561.68,C1329945680,0.0,0.0,M1555075043,0.0,0.0,0,0
156,PAYMENT,2709.37,C768019713,5947.5,3238.13,M1233868998,0.0,0.0,0,0
17,CASH_OUT,108257.06,C169783211,40640.0,0.0,C1211462752,0.0,108257.06,0,0
210,CASH_IN,165088.46,C1567948344,9044.0,174132.46,C1022972087,0.0,0.0,0,0
41,TRANSFER,234118.85,C533847356,305.0,0.0,C2014436681,545604.04,779722.89,0,0
262,PAYMENT,7583.59,C300494365,411254.0,403670.41,M1603824271,0.0,0.0,0,0
187,TRANSFER,193816.25,C1935940340,16256.75,0.0,C1688264927,1174724.67,1368540.92,0,0
278,CASH_IN,246408.19,C546570955,2580.0,248988.19,C1714899260,1316220.59,1069812.4,0,0
379,CASH_OUT,238787.68,C44844409,0.0,0.0,C2044074500,4227620.35,4466408.03,0,0
133,CASH_OUT,140958.15,C2100635838,320265.0,179306.85,C1270601992,0.0,140958.15,0,0
403,CASH_OUT,12437.95,C1262364,0.0,0.0,C713247335,1920865.21,1933303.16,0,0
163,CASH_IN,219304.58,C1267557914,5150688.52,5369993.1,C1225895165,382512.88,163208.3,0,0
180,PAYMENT,27664.83,C943737277,328892.06,301227.23,M1263035447,0.0,0.0,0,0
18,CASH_OUT,172271.14,C76274004,0.0,0.0,C844229902,249222.77,671830.48,0,0
20,CASH_IN,141401.78,C108239187,451061.0,592462.78,C326176500,51068.0,0.0,0,0
282,CASH_IN,99104.93,C1392749128,112.0,99216.93,C392121094,0.0,0.0,0,0
139,PAYMENT,19631.65,C425620631,398735.83,379104.18,M1815833543,0.0,0.0,0,0
300,CASH_OUT,1697.02,C235982166,0.0,0.0,C168671142,4878055.62,4879752.64,0,0
203,PAYMENT,2416.45,C2132170752,4245.87,1829.42,M1405050164,0.0,0.0,0,0
255,TRANSFER,261389.47,C1290229583,0.0,0.0,C1801387821,683435.78,944825.25,0,0
130,PAYMENT,17718.85,C1042757923,0.0,0.0,M1040752131,0.0,0.0,0,0
260,CASH_IN,5228.15,C1614019820,45495.0,50723.15,C2103969383,496948.87,491720.71,0,0
276,PAYMENT,5848.98,C1456622746,0.0,0.0,M1247550558,0.0,0.0,0,0
144,PAYMENT,1222.02,C1341120087,22542.0,21319.98,M199760335,0.0,0.0,0,0
257,CASH_OUT,270372.6,C1800632753,379687.0,109314.4,C1737521654,175668.68,501202.94,0,0
132,PAYMENT,33464.13,C15187566,0.0,0.0,M2093803717,0.0,0.0,0,0
299,CASH_OUT,16485.89,C274419259,15116.0,0.0,C1207915101,0.0,16485.89,0,0
36,CASH_OUT,419896.39,C490936522,18139.0,0.0,C113402946,20655.49,272646.54,0,0
178,CASH_IN,54963.37,C82304248,2690481.42,2745444.8,C1241558760,105354.25,50390.88,0,0
227,PAYMENT,3810.19,C13384407,0.0,0.0,M1218306294,0.0,0.0,0,0
17,PAYMENT,8729.56,C840397887,0.0,0.0,M1302956041,0.0,0.0,0,0
187,CASH_OUT,42567.11,C1460602571,0.0,0.0,C1663679231,242117.69,13304.54,0,0
250,PAYMENT,12231.43,C1653649975,0.0,0.0,M1477253902,0.0,0.0,0,0
178,PAYMENT,26230.52,C1655349660,3140.11,0.0,M1605895081,0.0,0.0,0,0
45,PAYMENT,10901.97,C1856477810,99970.0,89068.03,M151320278,0.0,0.0,0,0
227,CASH_IN,193002.48,C1331996128,8639461.76,8832464.24,C347248647,1184990.66,991988.19,0,0
138,CASH_OUT,138879.99,C574169882,0.0,0.0,C1326542702,658401.77,938918.08,0,0
237,DEBIT,610.52,C965863402,104569.0,103958.48,C505696395,57654.94,58265.46,0,0
458,PAYMENT,2865.34,C1572291745,0.0,0.0,M1783775177,0.0,0.0,0,0
33,CASH_IN,128450.52,C733010383,10343052.62,10471503.14,C1671386208,562040.47,433589.94,0,0
252,CASH_IN,293651.24,C1227874874,39474.0,333125.24,C768079845,0.0,0.0,0,0
322,DEBIT,2561.83,C1183313100,975.0,0.0,C1747239046,6285572.84,6288134.67,0,0
15,CASH_OUT,59290.65,C1289615407,19185.0,0.0,C2043543952,536597.52,814340.17,0,0
19,PAYMENT,6466.63,C527310357,111906.0,105439.37,M1764009431,0.0,0.0,0,0
177,CASH_OUT,377696.81,C1207624125,0.0,0.0,C684994567,3249968.15,3627664.97,0,0
38,CASH_OUT,182045.79,C737099023,0.0,0.0,C1992285783,252451.99,434497.77,0,0
236,CASH_IN,363846.79,C61370299,1683615.95,2047462.74,C328249512,6100082.35,5736235.56,0,0
493,CASH_IN,301701.48,C2044542230,12293.0,313994.48,C264663477,8.64,0.0,0,0
275,PAYMENT,16364.57,C1999798281,0.0,0.0,M605673606,0.0,0.0,0,0
273,PAYMENT,5364.71,C540778612,51317.0,45952.29,M1211987841,0.0,0.0,0,0
405,PAYMENT,10737.01,C2104583402,7261.14,0.0,M1979058962,0.0,0.0,0,0
16,CASH_IN,129876.06,C932490301,10058461.82,10188337.89,C132676069,174913.84,45037.78,0,0
358,CASH_IN,51395.91,C1197959646,159145.0,210540.91,C2053315702,0.0,0.0,0,0
20,CASH_OUT,399501.38,C863751581,0.0,0.0,C1212645159,2347659.63,2747161.01,0,0
350,PAYMENT,42366.02,C1637559568,0.0,0.0,M660779134,0.0,0.0,0,0
276,PAYMENT,19352.67,C54152260,0.0,0.0,M115100186,0.0,0.0,0,0
205,PAYMENT,9753.68,C285591599,35111.03,25357.36,M1518132023,0.0,0.0,0,0
129,PAYMENT,70624.81,C1338561250,0.0,0.0,M2134513178,0.0,0.0,0,0
162,CASH_OUT,257683.54,C853100762,20639.0,0.0,C611594260,12826.47,270510.0,0,0
43,CASH_IN,107268.43,C985871631,931927.57,1039196.0,C1520555969,621940.24,514671.81,0,0
183,CASH_OUT,844.78,C185300596,31134.0,30289.22,C964177244,495713.99,496558.77,0,0
131,CASH_IN,351490.85,C965984225,11002.0,362492.85,C1627965794,4575724.68,4224233.83,0,0
375,CASH_OUT,599114.38,C404976405,105456.0,0.0,C2095119354,514611.14,1113725.51,0,0
257,CASH_OUT,135331.25,C1129560643,0.0,0.0,C1609120416,508277.75,643609.0,0,0
404,CASH_OUT,151097.08,C792082973,69294.0,0.0,C1630112256,0.0,151097.08,0,0
260,PAYMENT,1791.52,C966862943,807.0,0.0,M1851583761,0.0,0.0,0,0
345,PAYMENT,2874.6,C1241322357,20197.0,17322.4,M327996200,0.0,0.0,0,0
378,PAYMENT,21443.26,C2018790477,212125.0,190681.74,M1355841714,0.0,0.0,0,0
328,CASH_IN,279354.16,C860878295,39958.0,319312.16,C2142119753,0.0,0.0,0,0
155,CASH_IN,22884.92,C1000244176,10908524.36,10931409.29,C639562832,239265.41,216380.48,0,0
44,PAYMENT,8560.79,C9343749,137884.0,129323.21,M248323560,0.0,0.0,0,0
156,CASH_IN,67319.38,C1178835217,7958309.06,8025628.44,C626857486,1591184.05,1523864.66,0,0
395,CASH_OUT,364879.2,C1910566276,276962.0,0.0,C1237065679,0.0,364879.2,0,0
136,CASH_IN,376726.23,C499644533,25326.0,402052.23,C651172234,0.0,0.0,0,0
44,PAYMENT,39809.51,C1327026633,0.0,0.0,M1694529707,0.0,0.0,0,0
256,PAYMENT,2627.87,C492841246,12333.0,9705.13,M1068940226,0.0,0.0,0,0
234,CASH_OUT,72560.37,C531514821,0.0,0.0,C102810796,144388.58,216948.95,0,0
522,CASH_OUT,144059.32,C1290004558,15911.53,0.0,C518516710,886474.29,1030533.62,0,0
136,CASH_IN,291401.51,C1320892115,1772981.46,2064382.97,C9916873,1060033.88,768632.37,0,0
188,CASH_OUT,16843.43,C1414409671,2308.0,0.0,C1672728451,0.0,16843.43,0,0
11,CASH_IN,150564.02,C1018426331,2714853.32,2865417.34,C1206747241,457630.83,442176.74,0,0
139,PAYMENT,20273.77,C627605297,7825.0,0.0,M1093496542,0.0,0.0,0,0
608,PAYMENT,6029.78,C1467961367,13003.0,6973.22,M1653020367,0.0,0.0,0,0
540,PAYMENT,5362.52,C493067853,21162.0,15799.48,M1203917429,0.0,0.0,0,0
312,PAYMENT,43175.87,C1375952485,0.0,0.0,M1762163048,0.0,0.0,0,0
130,CASH_OUT,453020.53,C740381563,1764.0,0.0,C1334322645,440153.55,893174.08,0,0
37,PAYMENT,6360.11,C1796304245,233571.8,227211.69,M1296804484,0.0,0.0,0,0
500,TRANSFER,534982.17,C162259938,122906.0,0.0,C515938621,4413664.61,4948646.78,0,0
130,PAYMENT,23334.65,C1447900898,2672.93,0.0,M59570770,0.0,0.0,0,0
691,CASH_OUT,4654.29,C1499701370,73382.4,68728.11,C801546201,252693.44,257347.73,0,0
18,PAYMENT,9383.8,C571213845,0.0,0.0,M1238922025,0.0,0.0,0,0
379,PAYMENT,425.18,C45960944,42989.61,42564.43,M954320085,0.0,0.0,0,0
354,CASH_IN,123115.18,C1213931986,2332222.08,2455337.26,C1304065594,813148.99,690033.81,0,0
143,PAYMENT,17131.28,C797505160,57811.48,40680.19,M1986911916,0.0,0.0,0,0
357,CASH_IN,297528.09,C1038601612,2908349.81,3205877.9,C791619596,334042.47,36514.38,0,0
276,CASH_IN,129478.07,C355173515,20652138.8,20781616.87,C1104322198,1803447.05,1673968.97,0,0
426,CASH_IN,1442.74,C696942484,4278239.41,4279682.16,C1925922819,825649.26,824206.51,0,0
326,CASH_OUT,526104.11,C1595560005,857100.29,330996.18,C1954745628,1879302.8,2405406.91,0,0
44,PAYMENT,304.89,C1552058951,0.0,0.0,M1726473252,0.0,0.0,0,0
352,CASH_IN,23350.46,C314718001,4811948.37,4835298.84,C634741549,31101.21,7750.75,0,0
500,PAYMENT,20946.47,C1743953100,12494.0,0.0,M980831914,0.0,0.0,0,0
346,CASH_IN,145573.1,C981651855,25471639.83,25617212.93,C299484444,1193902.44,1048329.34,0,0
374,CASH_OUT,111169.27,C397611511,10420.0,0.0,C1890708169,0.0,111169.27,0,0
257,CASH_OUT,193465.33,C1971173345,0.0,0.0,C904167615,459384.09,652849.42,0,0
522,TRANSFER,154982.31,C1016115914,0.0,0.0,C1526180308,777953.4,932935.72,0,0
370,CASH_OUT,214811.18,C529075406,10819.0,0.0,C330731124,0.0,214811.18,0,0
279,CASH_IN,99562.68,C1473849673,381620.2,481182.88,C1636597600,331557.62,231994.93,0,0
166,PAYMENT,10490.76,C923296296,100.0,0.0,M1740992789,0.0,0.0,0,0
396,PAYMENT,30253.21,C1107016902,49523.0,19269.79,M700826696,0.0,0.0,0,0
256,CASH_OUT,43382.47,C1666134207,53788.0,10405.53,C253914321,15953488.7,15996871.17,0,0
324,TRANSFER,288753.37,C323354056,41510.0,0.0,C890879676,644927.59,933680.96,0,0
307,CASH_IN,252237.57,C489316369,18585047.24,18837284.81,C1222895437,484778.79,232541.22,0,0
140,CASH_OUT,98371.93,C406897907,0.0,0.0,C573354183,2241173.71,2339545.64,0,0
333,CASH_IN,23736.52,C1652295141,5460709.42,5484445.93,C450769952,134037.68,110301.17,0,0
208,CASH_IN,313510.18,C182287394,2327210.01,2640720.19,C560840381,699264.24,860181.75,0,0
159,CASH_OUT,60905.59,C92598812,0.0,0.0,C895478868,819477.08,953986.24,0,0
397,CASH_OUT,62464.8,C1994419255,0.0,0.0,C917188011,192855.36,255320.17,0,0
12,CASH_IN,287653.66,C880616681,30301.0,317954.66,C1100153995,0.0,119792.4,0,0
236,PAYMENT,12149.71,C53649537,45377.0,33227.29,M1947805425,0.0,0.0,0,0
94,PAYMENT,3626.77,C461347082,44553.0,40926.23,M2016860619,0.0,0.0,0,0
251,PAYMENT,54219.24,C1560907623,47485.0,0.0,M448223599,0.0,0.0,0,0
298,PAYMENT,8310.78,C1722159236,0.0,0.0,M524836910,0.0,0.0,0,0
43,CASH_OUT,17051.34,C809092277,0.0,0.0,C994117953,2753069.86,2853595.78,0,0
282,CASH_OUT,95341.95,C1002298336,0.0,0.0,C2107135710,4885238.72,4980580.67,0,0
43,PAYMENT,1956.84,C683115486,0.0,0.0,M1119703320,0.0,0.0,0,0
211,CASH_OUT,106190.01,C1988897201,0.0,0.0,C59935339,264953.65,371143.66,0,0
321,PAYMENT,20081.08,C2030979832,112983.0,92901.92,M1545257532,0.0,0.0,0,0
130,CASH_IN,259962.76,C68862643,435.0,260397.76,C1767398596,0.0,0.0,0,0
403,CASH_OUT,253355.14,C1349858922,20138.0,0.0,C2048198248,0.0,253355.14,0,0
302,CASH_OUT,188589.4,C1770413182,280682.0,92092.6,C906140897,419040.48,607629.88,0,0
285,PAYMENT,55184.66,C1294755271,394224.45,339039.79,M359090096,0.0,0.0,0,0
187,CASH_OUT,172083.28,C1683143736,0.0,0.0,C407075892,469298.13,641381.42,0,0
307,CASH_OUT,12247.89,C1129025937,35257.0,23009.11,C1333703727,0.0,12247.89,0,0
39,PAYMENT,11181.18,C1233172785,412218.11,401036.92,M1293127477,0.0,0.0,0,0
403,PAYMENT,25629.32,C1562916237,383722.51,358093.19,M1247842630,0.0,0.0,0,0
258,PAYMENT,229.58,C1586963268,0.0,0.0,M1933294230,0.0,0.0,0,0
153,TRANSFER,888388.1,C72102842,99959.0,0.0,C2122868895,4661058.29,5549446.38,0,0
35,CASH_OUT,505802.1,C333708161,0.0,0.0,C1504217374,2289647.9,2795450.0,0,0
378,PAYMENT,10908.54,C2114018718,77341.42,66432.89,M832931044,0.0,0.0,0,0
16,CASH_OUT,257189.77,C391412870,102907.0,0.0,C8278945,0.0,490106.9,0,0
348,CASH_IN,196331.87,C388996767,3090788.53,3287120.41,C1428853795,8328880.18,8132548.31,0,0
204,PAYMENT,5578.51,C966623795,340574.69,334996.18,M1399557787,0.0,0.0,0,0
20,CASH_OUT,165412.43,C1680742703,700.0,0.0,C448210578,1807656.14,1973068.57,0,0
12,TRANSFER,743572.93,C542067013,0.0,0.0,C1005928818,1219461.01,1903628.67,0,0
542,CASH_OUT,425279.36,C559382493,0.0,0.0,C1434575059,1621406.48,2046685.84,0,0
372,CASH_OUT,119349.82,C1413781968,915.0,0.0,C1688268337,77571.64,196921.46,0,0
157,CASH_IN,242075.91,C1476769493,5678937.33,5921013.23,C1784469037,5003640.38,4761564.48,0,0
326,CASH_IN,362259.37,C1352912490,0.0,362259.37,C1999593305,1586932.16,1224672.79,0,0
353,CASH_IN,207959.09,C1822909181,7996217.21,8204176.3,C853918250,311609.77,103650.68,0,0
235,CASH_IN,286046.18,C720015201,1474.0,287520.18,C1525403393,171164.36,0.0,0,0
275,PAYMENT,4166.45,C1326351620,185697.69,181531.25,M1558490983,0.0,0.0,0,0
95,PAYMENT,13869.56,C1582125493,22355.0,8485.44,M1789420086,0.0,0.0,0,0
48,PAYMENT,2402.51,C996656587,51515.0,49112.49,M244370230,0.0,0.0,0,0
37,CASH_IN,203779.82,C1437794625,1516018.91,1719798.73,C1896728901,2379416.31,2175636.49,0,0
276,PAYMENT,2048.36,C1767005772,6679.0,4630.64,M1176264004,0.0,0.0,0,0
355,TRANSFER,993159.55,C1682018607,24377.0,0.0,C325117728,1006626.62,1999786.17,0,0
322,TRANSFER,7085707.73,C1611907401,0.0,0.0,C1849165827,14188147.57,21273855.3,0,0
130,CASH_OUT,141434.32,C644216654,0.0,0.0,C496979597,4058949.33,4200383.64,0,0
347,CASH_OUT,366143.62,C589734939,20662.0,0.0,C920959129,0.0,366143.62,0,0
401,CASH_OUT,294739.02,C1556510066,3055.0,0.0,C835553671,0.0,294739.02,0,0
15,PAYMENT,9127.03,C602288008,204488.0,195360.97,M1512672062,0.0,0.0,0,0
282,CASH_OUT,429503.11,C1320919426,0.0,0.0,C2132472437,1643934.09,2073437.2,0,0
184,PAYMENT,4721.75,C1873837323,0.0,0.0,M1611863425,0.0,0.0,0,0
300,CASH_IN,184025.78,C1602337963,832078.02,1016103.8,C778385543,1809731.08,1625705.3,0,0
307,CASH_OUT,85002.55,C1857118007,127995.0,42992.45,C1451511377,99257.14,184259.69,0,0
307,CASH_OUT,92355.2,C1984207230,0.0,0.0,C1098392316,494548.48,586903.68,0,0
684,CASH_IN,255394.46,C1475218390,1538216.59,1793611.05,C9563958,6178308.53,5922914.07,0,0
370,PAYMENT,996.7,C1533922551,530390.56,529393.85,M1856162447,0.0,0.0,0,0
259,CASH_IN,23749.95,C2002295456,134647.0,158396.95,C712956349,8876329.85,8852579.89,0,0
162,PAYMENT,2973.21,C644118255,0.0,0.0,M1936278947,0.0,0.0,0,0
403,CASH_OUT,77917.81,C2024481967,0.0,0.0,C39713115,7751141.19,7829059.0,0,0
283,PAYMENT,248.74,C1959247834,5021.0,4772.26,M440791689,0.0,0.0,0,0
229,CASH_IN,316355.49,C282732902,24346.0,340701.49,C802636358,467382.19,151026.7,0,0
305,CASH_IN,224317.92,C1866633165,832332.53,1056650.45,C708681604,495035.56,454578.49,0,0
329,PAYMENT,374.2,C1511184658,10852.0,10477.8,M2032696843,0.0,0.0,0,0
238,PAYMENT,15348.19,C584060519,6300.0,0.0,M1378498449,0.0,0.0,0,0
334,TRANSFER,3058166.48,C370594954,0.0,0.0,C1929902741,6063729.33,9121895.81,0,0
204,CASH_OUT,315185.44,C1638000863,0.0,0.0,C614893535,550679.7,865865.15,0,0
202,CASH_OUT,63054.41,C1364310679,0.0,0.0,C3971550,196966.25,260020.66,0,0
202,TRANSFER,657859.83,C1303347539,56.0,0.0,C265601701,2400780.77,3058640.6,0,0
19,PAYMENT,36475.45,C1059841535,249199.58,212724.13,M1653110766,0.0,0.0,0,0
213,CASH_OUT,112240.73,C646640035,0.0,0.0,C1479586168,468215.84,580456.57,0,0
369,PAYMENT,6035.47,C706008412,0.0,0.0,M750064895,0.0,0.0,0,0
9,CASH_OUT,271538.23,C1730322326,0.0,0.0,C830831744,3545010.92,3816549.15,0,0
356,CASH_OUT,64940.15,C146854156,228516.0,163575.85,C1307448388,0.0,64940.15,0,0
181,PAYMENT,42.68,C2076868547,0.0,0.0,M555261767,0.0,0.0,0,0
9,CASH_OUT,500698.95,C1800941877,19530.0,0.0,C1283946940,758763.92,1259462.88,0,0
252,PAYMENT,56330.42,C277136228,10465.0,0.0,M510921397,0.0,0.0,0,0
373,CASH_OUT,155183.69,C1294013121,0.0,0.0,C715730315,751654.84,906838.53,0,0
322,PAYMENT,14833.78,C396805923,212976.0,198142.22,M1672419789,0.0,0.0,0,0
346,CASH_OUT,21778.3,C1684875030,0.0,0.0,C766015896,22812.37,44590.67,0,0
298,PAYMENT,25460.8,C1813282671,517033.25,491572.45,M516549282,0.0,0.0,0,0
256,PAYMENT,2762.03,C2123044109,100442.0,97679.97,M793132365,0.0,0.0,0,0
279,PAYMENT,266.84,C246108879,0.0,0.0,M220550889,0.0,0.0,0,0
372,CASH_OUT,251312.02,C2001326656,0.0,0.0,C1230361759,991542.03,1242854.06,0,0
324,CASH_IN,555868.6,C1695994033,22802.0,578670.6,C194032597,0.0,0.0,0,0
130,CASH_OUT,118899.71,C385173299,30745.0,0.0,C176122582,208242.63,327142.33,0,0
287,CASH_OUT,124648.84,C1762213912,200741.79,76092.95,C942916334,177361.88,302010.72,0,0
306,PAYMENT,3968.51,C396365893,88584.9,84616.39,M317925321,0.0,0.0,0,0
230,CASH_OUT,126923.54,C1727048822,0.0,0.0,C1365586473,272227.07,399150.61,0,0
594,CASH_IN,6767.76,C228971950,160567.0,167334.76,C986249553,671177.45,664409.69,0,0
372,CASH_IN,107960.47,C970319124,143780.0,251740.47,C267896727,169320.19,61359.72,0,0
261,PAYMENT,7027.24,C2067592307,0.0,0.0,M1881620761,0.0,0.0,0,0
394,CASH_IN,281099.0,C1654315389,12014471.83,12295570.82,C1134744342,324501.29,43402.29,0,0
403,TRANSFER,547625.85,C1921887236,31574.0,0.0,C78229684,209106.63,756732.48,0,0
688,CASH_OUT,208850.08,C732236052,36880.0,0.0,C245391424,0.0,208850.08,0,0
321,PAYMENT,22038.0,C1089935404,310540.2,288502.19,M1889746431,0.0,0.0,0,0
304,CASH_IN,108313.37,C1267105428,784198.51,892511.87,C1446485741,491216.49,382903.12,0,0
